crudeoil,cases,vaccines,holidays,crudeoil_one,cases_one,vaccines_one,holidays_one,crudeoil_two,cases_two,vaccines_two,holidays_two,crudeoil_three,cases_three,vaccines_three,holidays_three,crudeoil_four,cases_four,vaccines_four,holidays_four,crudeoil_five,cases_five,vaccines_five,holidays_five
61.4500,30611999.0000,4505415.0000,0,59.1600,30532810.0000,4149595.0000,0,60.5500,30465838.0000,3575881.0000,0,61.5600,30404401.0000,2825865.0000,0,60.9700,30228526.0000,3815398.0000,0,58.5600,30150981.0000,3818053.0000,0
58.6500,30857897.0000,3087017.0000,0,61.4500,30611999.0000,4505415.0000,0,59.1600,30532810.0000,4149595.0000,0,60.5500,30465838.0000,3575881.0000,0,61.5600,30404401.0000,2825865.0000,0,60.9700,30228526.0000,3815398.0000,0
59.3300,30919041.0000,3962195.0000,0,58.6500,30857897.0000,3087017.0000,0,61.4500,30611999.0000,4505415.0000,0,59.1600,30532810.0000,4149595.0000,0,60.5500,30465838.0000,3575881.0000,0,61.5600,30404401.0000,2825865.0000,0
59.7700,30994031.0000,4340138.0000,0,59.3300,30919041.0000,3962195.0000,0,58.6500,30857897.0000,3087017.0000,0,61.4500,30611999.0000,4505415.0000,0,59.1600,30532810.0000,4149595.0000,0,60.5500,30465838.0000,3575881.0000,0
59.6000,31074284.0000,4478727.0000,0,59.7700,30994031.0000,4340138.0000,0,59.3300,30919041.0000,3962195.0000,0,58.6500,30857897.0000,3087017.0000,0,61.4500,30611999.0000,4505415.0000,0,59.1600,30532810.0000,4149595.0000,0
59.3200,31158621.0000,4296587.0000,0,59.6000,31074284.0000,4478727.0000,0,59.7700,30994031.0000,4340138.0000,0,59.3300,30919041.0000,3962195.0000,0,58.6500,30857897.0000,3087017.0000,0,61.4500,30611999.0000,4505415.0000,0
59.7000,31341317.0000,2997554.0000,0,59.3200,31158621.0000,4296587.0000,0,59.6000,31074284.0000,4478727.0000,0,59.7700,30994031.0000,4340138.0000,0,59.3300,30919041.0000,3962195.0000,0,58.6500,30857897.0000,3087017.0000,0
60.1800,31420461.0000,3458072.0000,0,59.7000,31341317.0000,2997554.0000,0,59.3200,31158621.0000,4296587.0000,0,59.6000,31074284.0000,4478727.0000,0,59.7700,30994031.0000,4340138.0000,0,59.3300,30919041.0000,3962195.0000,0
63.1500,31495777.0000,3672229.0000,0,60.1800,31420461.0000,3458072.0000,0,59.7000,31341317.0000,2997554.0000,0,59.3200,31158621.0000,4296587.0000,0,59.6000,31074284.0000,4478727.0000,0,59.7700,30994031.0000,4340138.0000,0
63.4600,31569687.0000,3723149.0000,0,63.1500,31495777.0000,3672229.0000,0,60.1800,31420461.0000,3458072.0000,0,59.7000,31341317.0000,2997554.0000,0,59.3200,31158621.0000,4296587.0000,0,59.6000,31074284.0000,4478727.0000,0
